#  CREATED = Jan 27 1998 
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of Gleise 229B source model (Angst vs FLAM)
#  MAPKEY  = Brown Dwarf
#  FILE_TYP= Brown Dwarf (Gleise 229B) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). This file has been
#  HISOTRY  been validated and found to be representative of the spectra for
#  HISTORY  a brown dwarf.

#  Digital form of the spectrum of Gliese 229B.  This data is presented in
#  the paper entitled "The Spectrum of Gliese 229B" by B. R. Oppenheimer,
#  S. R. Kulkarni, K. Matthews and M. H. van Kerkwijk (1998, ApJ, in press).
#   
#  Please contact Ben R. Oppenheimer before using this data in any
#  publication or presentation.
#   
#  Ben R. Oppenheimer
#  January 27, 1998
#   
#  105-24 California Institute of Technology
#  Pasadena, CA 91125
#  (626) 395-4987
#  fax: (626) 568-9352
#  e-mail: bro@astro.caltech.edu
#   
#  The first column is wavelength in microns.  The second column is flux
#  density in millijanskies.  Gaps exist in the data in the following
#  ranges, where telluric absorption prohibits a measurement (all
#  wavelengths are given in microns): [1.1236, 1.1561], [1.3333, 1.3986],
#  [1.9231, 2.0000], [2.5317, 2.9840] and [4.1667, 4.5455].  In addition,
#  the resolution is much higher in the wavelength range 0.837 to 1.0
#  micron.  The paper contains complete descriptions of the data
#  collection and reduction techniques.
#
#
# Units converted from Ben's micron/mJy table from his web page
# using stsci.edu:/home/anands/rc/src/etc/nicmosc/inr/gl229b.c. 
#
#						anands@stsci.edu
#   
# Wavelength     Flux: Synphot's flam
#  A             erg s-1 cm-2 A-1
8.374720e+03     2.735648e-20
8.377440e+03     3.858176e-20
8.380150e+03     3.530390e-20
8.382860e+03     3.284084e-20
8.385580e+03     2.783564e-20
8.388300e+03     2.602813e-20
8.391010e+03     2.593468e-20
8.393730e+03     2.463709e-20
8.396440e+03     3.395938e-20
8.399170e+03     2.697221e-20
8.401890e+03     2.983411e-20
8.404600e+03     2.608006e-20
8.407310e+03     3.754041e-20
8.410030e+03     2.745362e-20
8.412760e+03     3.426404e-20
8.415470e+03     3.575321e-20
8.418190e+03     3.488826e-20
8.420910e+03     2.961071e-20
8.423630e+03     3.251949e-20
8.426350e+03     2.948382e-20
8.429080e+03     3.434246e-20
8.431800e+03     2.951741e-20
8.434510e+03     3.423084e-20
8.437240e+03     3.044375e-20
8.439950e+03     3.133748e-20
8.442680e+03     3.527077e-20
8.445400e+03     3.322632e-20
8.448120e+03     2.936987e-20
8.450850e+03     3.805290e-20
8.453570e+03     4.726179e-20
8.456290e+03     2.793385e-20
8.459010e+03     3.055539e-20
8.461740e+03     4.059701e-20
8.464310e+03     3.648834e-20
8.466920e+03     3.526984e-20
8.469530e+03     3.666070e-20
8.472140e+03     3.584872e-20
8.475700e+03     4.225786e-20
8.478260e+03     4.400072e-20
8.480810e+03     3.893494e-20
8.483370e+03     3.894893e-20
8.486450e+03     4.532697e-20
8.489070e+03     4.150917e-20
8.491680e+03     4.500923e-20
8.494300e+03     4.187356e-20
8.496910e+03     3.837229e-20
8.499520e+03     4.420831e-20
8.502140e+03     5.367421e-20
8.505700e+03     4.593422e-20
8.508260e+03     4.890904e-20
8.510810e+03     4.878041e-20
8.513370e+03     4.094577e-20
8.516460e+03     3.621644e-20
8.519080e+03     2.246335e-20
8.521690e+03     1.848232e-20
8.524310e+03     2.542284e-20
8.526920e+03     3.448660e-20
8.529530e+03     4.203522e-20
8.533150e+03     4.409933e-20
8.535730e+03     4.456233e-20
8.538310e+03     4.657507e-20
8.540860e+03     5.007755e-20
8.543420e+03     5.049113e-20
8.546530e+03     4.161780e-20
8.549150e+03     4.793368e-20
8.551770e+03     4.595305e-20
8.554380e+03     4.406507e-20
8.557000e+03     4.628995e-20
8.559610e+03     5.415477e-20
8.562230e+03     4.189060e-20
8.565800e+03     4.598242e-20
8.568360e+03     5.236185e-20
8.570920e+03     5.207756e-20
8.573500e+03     5.367355e-20
8.576590e+03     4.719951e-20
8.579240e+03     4.743918e-20
8.581850e+03     5.124484e-20
8.584470e+03     4.921205e-20
8.587090e+03     5.105222e-20
8.589710e+03     5.197999e-20
8.592320e+03     5.543248e-20
8.595900e+03     4.649676e-20
8.598450e+03     5.730388e-20
8.601040e+03     5.765436e-20
8.603610e+03     5.351318e-20
8.606720e+03     5.484244e-20
8.609340e+03     5.145200e-20
8.611960e+03     5.348222e-20
8.614570e+03     5.719062e-20
8.617190e+03     5.936828e-20
8.619810e+03     5.602363e-20
8.622430e+03     4.953375e-20
8.626060e+03     5.672813e-20
8.628630e+03     6.142961e-20
8.631190e+03     6.964681e-20
8.633760e+03     6.293318e-20
8.636820e+03     5.768806e-20
8.639450e+03     6.448503e-20
8.642060e+03     6.488362e-20
8.644720e+03     5.479461e-20
8.647350e+03     5.495372e-20
8.649980e+03     5.807361e-20
8.652590e+03     6.224311e-20
8.656180e+03     7.230201e-20
